Case Description,Category,cleaned_text
I want to create a will and need help understanding the legal steps.,Personal Status,want creat need help understand legal step
The case involves an unfair termination without proper notice.,General,case involv unfair termin without proper notic
I have problems with my husband so I want a divorce,Personal Status,problem husband want divorc
The court handled a commercial dispute involving assault in the workplace.,Commercial,court handl commerci disput involv assault workplac
I want to file for compensation for an injury that happened at work.,General,want file compens injuri happen work
My former spouse took our child and refuses to return them.,Personal Status,former spous took child refus return
The artist accused the company of copyright infringement.,Commercial,artist accus compani copyright infring
A case was opened regarding an injury claim following a physical attack.,General,case open regard injuri claim follow physic attack
The dispute centered around authority and decision-making within management.,Commercial,disput center around author decisionmak within manag
I’m filing a complaint because I wasn’t paid for my freelance project.,Commercial,i'm file complaint wasn't paid freelanc project
Welfare concerns were raised after reports of neglect and poor supervision.,Personal Status,welfar concern rais report neglect poor supervis
The mother denied the father’s right to visit the children.,Personal Status,mother deni father right visit children
A legal case was filed regarding the unauthorized sale of a franchise license.,Commercial,legal case file regard unauthor sale franchis licens
The case involves property division following a divorce.,Personal Status,case involv properti divis follow divorc
Warranty dispute — company failed to meet service agreement.,Commercial,warranti disput — compani fail meet servic agreement
"The client delayed payment for three months, leading to a legal complaint.",Commercial,client delay payment three month lead legal complaint
I’m seeking legal advice about enforcing a software project agreement.,Commercial,i'm seek legal advic enforc softwar project agreement
A case was filed after evidence of financial deception was discovered.,Commercial,case file evid financi decept discov
He filed an injury claim after suffering injuries during a neighborhood dispute.,General,file injuri claim suffer injuri neighborhood disput
Security footage showed a physical attack inside the workplace.,Commercial,secur footag show physic attack insid workplac
The case involves reputation damage caused by false statements in public.,General,case involv reput damag caus fals statement public
The case involves inappropriate behavior and workplace harassment.,General,case involv inappropri behavior workplac harass
I experienced harassment while using public transport.,General,experienc harass use public transport
The shareholders decided on business dissolution following bankruptcy.,Commercial,sharehold decid busi dissolut follow bankruptci
"I was hurt while working, and the company hasn’t covered my expenses.",General,hurt work compani hasn't cover expens
The court reviewed a complaint involving fraud in an e-commerce transaction.,Commercial,court review complaint involv fraud ecommerc transact
The customer filed a complaint after an online transaction failed.,Commercial,custom file complaint onlin transact fail
The victim presented screenshots proving extortion attempts online.,General,victim present screenshot prove extort attempt onlin
The audit revealed several fake contracts in the company’s financial records.,Commercial,audit reveal sever fake contract compani financi record
The company received multiple complaints due to customer dissatisfaction.,Commercial,compani receiv multipl complaint due custom dissatisfact
The case focused on addressing welfare concerns in the child’s environment.,Personal Status,case focus address welfar concern child environ
A dispute arose regarding the repayment of the dowry.,Personal Status,disput aros regard repay dowri
I want to know the best way to respond to a customer’s contract complaint.,Commercial,want know best way respond custom contract complaint
The family requested protection of the rights of their incapacitated relative.,Personal Status,famili request protect right incapacit relat
The mother appealed against the withdrawal of her custody rights.,Personal Status,mother appeal withdraw custodi right
I’m taking legal action to make the father pay for his children’s expenses.,Personal Status,i'm take legal action make father pay children expens
The liquidation process began to sell company assets and repay debts.,Commercial,liquid process began sell compani asset repay debt
My ex and I are discussing property and financial terms after divorce.,Personal Status,ex discuss properti financi term divorc
What should I do if my business partner hides revenue from the tax authorities?,Commercial,busi partner hide revenu tax author
I’m planning to go through mediation and want to understand the process.,Personal Status,i'm plan go mediat want understand process
The court handled a commercial dispute involving a physical attack during a meeting.,Commercial,court handl commerci disput involv physic attack meet
The court reviewed medical reports in the paternity case.,Personal Status,court review medic report patern case
I’m planning to open a new business and need advice on the registration process.,Commercial,i'm plan open new busi need advic registr process
The driver who hit me doesn’t have insurance.,General,driver hit doesn't insur
I need help understanding court rules for child custody.,Personal Status,need help understand court rule child custodi
I lost my passport while traveling abroad.,General,lost passport travel abroad
The court handled an intellectual property dispute between two tech firms.,Commercial,court handl intellectu properti disput two tech firm
The business promised improvements following feedback about customer dissatisfaction.,Commercial,busi promis improv follow feedback custom dissatisfact
The case involves a dispute over joint profits following business closure.,Commercial,case involv disput joint profit follow busi closur
Authorities investigated allegations of commercial fraud in the firm’s transactions.,Commercial,author investig alleg commerci fraud firm transact
which authority handles public land violations.,General,author handl public land violat
"I was in a car accident, who should pay for the damages.",General,car accid pay damag
I want to report trademark misuse affecting my business reputation.,Commercial,want report trademark misus affect busi reput
"My package contained the wrong item, and the seller won’t fix it.",Commercial,packag contain wrong item seller won't fix
The minority shareholder claimed his voting rights were violated.,Commercial,minor sharehold claim vote right violat
I’m looking for advice on how to enforce a warranty claim legally.,Commercial,i'm look advic enforc warranti claim legal
The inventor filed a case to protect his patent rights.,Commercial,inventor file case protect patent right
Defamation case against a social media user.,General,defam case social media user
The court reviewed evidence of an assault captured on camera.,General,court review evid assault captur camera
I need legal help to deal with workplace defamation through internal messages.,General,need legal help deal workplac defam intern messag
A case was opened regarding the hospital’s failure to respect patient rights.,General,case open regard hospit failur respect patient right
The partners are in conflict about how to split the company’s earnings.,Commercial,partner conflict split compani earn
I need legal help because my business partner broke our agreement.,Commercial,need legal help busi partner broke agreement
The shareholders held an emergency meeting to address potential insolvency.,Commercial,sharehold held emerg meet address potenti insolv
The court ruled in favor of the wife’s alimony claim.,Personal Status,court rule favor wife alimoni claim
The company terminated my contract without any valid reason.,Commercial,compani termin contract without valid reason
The tenant took the landlord to court for holding the deposit without reason.,Commercial,tenant took landlord court hold deposit without reason
"The tenant is avoiding payments for water and electricity, and I want to act.",Commercial,tenant avoid payment water electr want act
"Client refusing to sign, even though we already agreed on everything.",Commercial,client refus sign even though alreadi agre everyth
The case involves a disagreement over custody and visitation arrangements.,Personal Status,case involv disagr custodi visit arrang
my visa application keeps getting delayed,General,visa applic keep get delay
What are my options if my ex-partner refuses to share business profits?,Commercial,option expartn refus share busi profit
The case involves a partnership dispute due to contract violation.,Commercial,case involv partnership disput due contract violat
The dispute centered on proving the child’s legal family identity.,Personal Status,disput center prove child legal famili ident
She claimed she was a victim of extortion by an unknown caller.,General,claim victim extort unknown caller
Someone posted false information about me online — can I take legal action?,General,someon post fals inform onlin — take legal action
The court investigated claims of financial deception and document forgery.,Commercial,court investig claim financi decept document forgeri
A case was raised to confirm the marriage contract.,Personal Status,case rais confirm marriag contract
A case was reported after pollution contaminated the local water supply.,General,case report pollut contamin local water suppli
What should I do if an employee steals company property?,Commercial,employe steal compani properti
The court reviewed a complaint concerning delivery issues between two companies.,Commercial,court review complaint concern deliveri issu two compani
Both parents claimed they acted in the best interest of their child.,Personal Status,parent claim act best interest child
"The eviction happened without legal approval, and I want advice.",Commercial,evict happen without legal approv want advic
The police received multiple reports of personal data misuse affecting local residents.,General,polic receiv multipl report person data misus affect local resid
She claimed that the data breach exposed her confidential information.,General,claim data breach expos confidenti inform
The incident involved a data breach that affected hundreds of users.,General,incid involv data breach affect hundr user
The company faced a bank issue after a failed international transfer.,Commercial,compani face bank issu fail intern transfer
"I lost my job suddenly, and the company didn’t follow proper procedure.",Commercial,lost job sudden compani didn't follow proper procedur
The firm requested termination of the financial agreement after repeated delays.,Commercial,firm request termin financi agreement repeat delay
Residents filed a complaint after noticing a threat to public safety in their area.,General,resid file complaint notic threat public safeti area
"My ex hasn’t paid any support for months, and I don’t know what to do.",Personal Status,ex hasn't paid support month don't know
What can I do if my landlord evicted me without notice?,Commercial,landlord evict without notic
The client failed to settle the payment as agreed in the contract.,Commercial,client fail settl payment agre contract
The case involves disagreement among heirs about family assets.,Personal Status,case involv disagr among heir famili asset
The case is about a property boundary dispute between two neighbors.,General,case properti boundari disput two neighbor
A petition was filed to transfer custody following the mother’s remarriage.,Personal Status,petit file transfer custodi follow mother remarriag
The buyer denied signing the fake contract submitted as evidence.,Commercial,buyer deni sign fake contract submit evid
Employee theft of company property.,Commercial,employe theft compani properti
I want to make sure my business registration follows all legal requirements.,Commercial,want make sure busi registr follow legal requir
A commercial complaint was filed after a company’s waste resulted in environmental damage.,Commercial,commerci complaint file compani wast result environment damag
I’m asking for legal advice because my ex wants full custody of our teen.,Personal Status,i'm ask legal advic ex want full custodi teen
I’m seeking legal advice about enforcing a warranty claim.,Commercial,i'm seek legal advic enforc warranti claim
The husband filed for annulment claiming the marriage was forced.,Personal Status,husband file annul claim marriag forc
I want to recover my rightful share of income from the dissolved company.,Commercial,want recov right share incom dissolv compani
The company reported a theft of expensive equipment from its warehouse.,Commercial,compani report theft expens equip warehous
Employee misusing company funds.,Commercial,employe misus compani fund
Fraudulent transaction in my bank account.,General,fraudul transact bank account
The victim claimed emotional and physical damage from a serious hospital error.,General,victim claim emot physic damag serious hospit error
There was a disagreement over the dowry refund between the couple.,Personal Status,disagr dowri refund coupl
"An employee stole company property, and I want to take legal action.",Commercial,employe stole compani properti want take legal action
Authorities investigated the bank issue following multiple customer complaints.,Commercial,author investig bank issu follow multipl custom complaint
prove liability in a vehicle accident case.,General,prove liabil vehicl accid case
"He was fined for traffic violations, including speeding and running a red light.",General,fine traffic violat includ speed run red light
The wife filed for khula to end the marriage.,Personal Status,wife file khula end marriag
I’m seeking legal advice about a copyright dispute involving my song.,General,i'm seek legal advic copyright disput involv song
Someone defamed me online — what are my legal options?,General,someon defam onlin — legal option
The judge emphasized that the child’s interest comes first.,Personal Status,judg emphas child interest come first
Ongoing conflict regarding child custody post divorce,Personal Status,ongo conflict regard child custodi post divorc
I think someone stole my identity and used my personal information.,General,think someon stole ident use person inform
I need legal help because my landlord raised the rent without any notice.,Commercial,need legal help landlord rais rent without notic
The case involves a partner committing tax evasion by hiding revenue.,Commercial,case involv partner commit tax evas hide revenu
The company faced penalties for creating a public safety hazard near the facility.,Commercial,compani face penalti creat public safeti hazard near facil
Someone is using my copyrighted images online.,General,someon use copyright imag onlin
What should I do if a customer complains about a service contract?,Commercial,custom complain servic contract
What are my options in a custody dispute over a teenage child?,Personal Status,option custodi disput teenag child
Illegal construction in public area.,General,illeg construct public area
The report confirmed major public safety concerns caused by poor maintenance.,General,report confirm major public safeti concern caus poor mainten
Security cameras captured an employee hiding stolen property from the store.,Commercial,secur camera captur employe hide stolen properti store
Neighbor property dispute — need guidance to protect my land rights.,General,neighbor properti disput — need guidanc protect land right
The report showed several driving offenses committed on the same day.,General,report show sever drive offens commit day
Business partner breach of contract.,Commercial,busi partner breach contract
The issue is about financial liability after a traffic accident.,General,issu financi liabil traffic accid
She reported a marital conflict caused by constant disagreements.,Personal Status,report marit conflict caus constant disagr
My accident claim was denied.,General,accid claim deni
The court reviewed a commercial dispute involving medical negligence in a private facility.,Commercial,court review commerci disput involv medic neglig privat facil
Online defamation case.,General,onlin defam case
The driver received a fine for speeding in a residential area.,General,driver receiv fine speed residenti area
The patient filed a complaint after suffering complications due to a hospital error.,General,patient file complaint suffer complic due hospit error
Family inheritance case — dispute over estate distribution.,Personal Status,famili inherit case — disput estat distribut
Company breached employment agreement.,Commercial,compani breach employ agreement
The heirs reached a settlement regarding estate division and inheritance rights.,Personal Status,heir reach settlement regard estat divis inherit right
What are my options if my neighbors claim part of my property?,General,option neighbor claim part properti
I was denied promotion due to discrimination at work.,General,deni promot due discrimin work
I’m seeking legal advice about dividing profits after partnership termination.,Commercial,i'm seek legal advic divid profit partnership termin
I was injured at work and want to claim compensation.,General,injur work want claim compens
Family inheritance issue — disagreement about distribution of assets.,Personal Status,famili inherit issu — disagr distribut asset
The case focused on ensuring financial and emotional support for orphan care.,Personal Status,case focus ensur financi emot support orphan care
I’m filing a harassment claim against my supervisor at work.,General,i'm file harass claim supervisor work
Custody is the issue after we divorce.,Personal Status,custodi issu divorc
The dispute involved royalty fees and marketing obligations in the franchise contract.,Commercial,disput involv royalti fee market oblig franchis contract
I filed a complaint because my partner wasn’t transparent about our finances.,Personal Status,file complaint partner wasn't transpar financ
She filed a case to confirm the revocation of the divorce.,Personal Status,file case confirm revoc divorc
The company filed a rental issue claim regarding a commercial shop lease.,Commercial,compani file rental issu claim regard commerci shop leas
The employee is suing the company for ending the contract without reason.,Commercial,employe su compani end contract without reason
"My official legal papers are lost, and I’m not sure what to do next.",General,offici legal paper lost i'm sure next
The retailer was accused of promoting products using a fake brand identity.,Commercial,retail accus promot product use fake brand ident
The fashion company accused a local store of brand imitation.,Commercial,fashion compani accus local store brand imit
The case is about a spouse who refused to show all their financial information.,Personal Status,case spous refus show financi inform
Negotiations failed to resolve the ongoing supplier dispute.,Commercial,negoti fail resolv ongo supplier disput
Can I take legal action if a client refuses to sign the contract after agreement?,Commercial,take legal action client refus sign contract agreement
The seller took my payment but didn’t send the items.,Commercial,seller took payment didn't send item
what is rights regarding financial assets after the divorce.,Personal Status,right regard financi asset divorc
My ex keeps changing the visitation times and refusing access.,Personal Status,ex keep chang visit time refus access
Custody was withdrawn after proof of poor living conditions.,Personal Status,custodi withdrawn proof poor live condit
The company filed a lawsuit for reputation damage caused by false reviews.,Commercial,compani file lawsuit reput damag caus fals review
The husband requested the court to record the revocation officially.,Personal Status,husband request court record revoc offici
The consumer demanded a refund following an unresolved service complaint.,Commercial,consum demand refund follow unresolv servic complaint
A renter took legal action after the landlord kept the security money.,Commercial,renter took legal action landlord kept secur money
Both parties signed a legal document confirming the debt settlement.,Commercial,parti sign legal document confirm debt settlement
My former partner and I can’t agree on how to split the earnings.,Commercial,former partner can't agre split earn
I think my spouse is secretly moving assets to avoid sharing them in the divorce.,Personal Status,think spous secret move asset avoid share divorc
The case is about getting professional advice before registering a new company.,Commercial,case get profession advic regist new compani
breach of contract by my employer.,Commercial,breach contract employ
Fraudulent online marketplace seller.,Commercial,fraudul onlin marketplac seller
I need legal advice after being harassed in a public transportation area.,General,need legal advic harass public transport area
A woman filed to become the legal guardian under the orphan care system.,Personal Status,woman file becom legal guardian orphan care system
The company managing the clinic was accused of ignoring patient rights policies.,Commercial,compani manag clinic accus ignor patient right polici
What are my options if I have a payment dispute with a contractor?,Commercial,option payment disput contractor
The property division is causing conflict between us.,Personal Status,properti divis caus conflict us
What should I do if I see a fraudulent transaction in my account?,General,see fraudul transact account
Authorities investigated a cyber privacy breach involving leaked personal messages.,General,author investig cyber privaci breach involv leak person messag
Authorities investigated pollution caused by burning waste in a public area.,General,author investig pollut caus burn wast public area
clear my name after being wrongly blamed for theft in a store.,General,clear name wrong blame theft store
The supplier refused to fulfill the remaining part of the contract.,Commercial,supplier refus fulfil remain part contract
What should I do if someone defamed me on social media?,General,someon defam social media
The wife decided to proceed with khula under Islamic law.,Personal Status,wife decid proceed khula islam law
A dispute arose due to non-payment for delivered goods.,Commercial,disput aros due nonpay deliv good
The store staff wrongly accused me of taking something without paying.,General,store staff wrong accus take someth without pay
"My creative work was used illegally, and I need legal help.",General,creativ work use illeg need legal help
"A theft happened in my area, and my bicycle was taken.",General,theft happen area bicycl taken
The individual demanded justice after experiencing a violation of patient rights.,General,individu demand justic experienc violat patient right
The police received multiple complaints about environmental safety hazards nearby.,General,polic receiv multipl complaint environment safeti hazard nearbi
A commercial dispute arose involving stolen property sold to a retailer.,Commercial,commerci disput aros involv stolen properti sold retail
A privacy complaint was filed after a business shared client data without permission.,Commercial,privaci complaint file busi share client data without permiss
Dispute over inheritance from deceased parent.,Personal Status,disput inherit deceas parent
My tenant damaged the property and refuses to pay for the repairs.,Commercial,tenant damag properti refus pay repair
"My product is still under warranty, yet the company won’t fix it.",Commercial,product still warranti yet compani won't fix
The investigation revealed major environmental safety breaches affecting residents.,General,investig reveal major environment safeti breach affect resid
The borrower negotiated a debt settlement to avoid bankruptcy.,Commercial,borrow negoti debt settlement avoid bankruptci
What should I do if I want custody of my child?,Personal Status,want custodi child
A petition for insolvency was filed by the firm’s main lender.,Commercial,petit insolv file firm main lender
The family applied for legal custody to provide orphan care.,Personal Status,famili appli legal custodi provid orphan care
The inheritance dispute has caused conflict between siblings.,Personal Status,inherit disput caus conflict sibl
A case was filed regarding privacy concerns in a neighborhood incident.,General,case file regard privaci concern neighborhood incid
custody of my boys,Personal Status,custodi boy
My account was charged without my consent.,General,account charg without consent
The company failed to fulfill its business obligations under the contract.,Commercial,compani fail fulfil busi oblig contract
Need help creating a will and making it official.,Personal Status,need help creat make offici
What are my options if my supplier breaks the contract terms?,Commercial,option supplier break contract term
The wife wants to obtain a khula due to marital issues.,Personal Status,wife want obtain khula due marit issu
The police received multiple complaints regarding a large data breach.,General,polic receiv multipl complaint regard larg data breach
The manufacturer issued a recall after an increase in product complaints.,Commercial,manufactur issu recal increas product complaint
The bank launched an investigation into suspicious online transactions.,Commercial,bank launch investig suspici onlin transact
A complaint was filed against the manufacturer over a product defect.,Commercial,complaint file manufactur product defect
There was a conflict about the issuance of an official divorce certificate.,Personal Status,conflict issuanc offici divorc certif
The supplier was accused of presenting fake contracts to obtain payment.,Commercial,supplier accus present fake contract obtain payment
The case concerns establishing the legitimate lineage of the child.,Personal Status,case concern establish legitim lineag child
I’m experiencing harassment at work.,General,i'm experienc harass work
The wife challenged the legality of the husband’s revocation claim.,Personal Status,wife challeng legal husband revoc claim
My passport went missing overseas — what steps should I take now?,General,passport went miss oversea — step take
There’s an ongoing dispute between family members about their inheritance rights.,Personal Status,there ongo disput famili member inherit right
The court reviewed a property dispute related to dividing inherited property.,Personal Status,court review properti disput relat divid inherit properti
I’m seeking legal advice about claiming compensation after an accident.,General,i'm seek legal advic claim compens accid
The court investigated allegations of using false documents in trade transactions.,Commercial,court investig alleg use fals document trade transact
Authorities investigated reports of human rights abuse in the community.,General,author investig report human right abus communiti
The case focused on recovering the dowry given at marriage.,Personal Status,case focus recov dowri given marriag
I need guidance on how to file a harassment complaint at work.,General,need guidanc file harass complaint work
My neighbors and I disagree about where the property line is.,General,neighbor disagre properti line
"I was promised warranty service, but the company didn’t honor it.",Commercial,promis warranti servic compani didn't honor
Unauthorized use of personal images online.,General,unauthor use person imag onlin
The case involves a couple trying to settle their divorce through mediation.,Personal Status,case involv coupl tri settl divorc mediat
My landlord evicted me illegally without a proper notice.,Commercial,landlord evict illeg without proper notic
My husband refuses to move on from this marriage despite our daily arguments,Personal Status,husband refus move marriag despit daili argument
She filed for divorce verification due to a dispute with her ex-husband.,Personal Status,file divorc verif due disput exhusband
"False statements about me are circulating online, and I want to stop them.",General,fals statement circul onlin want stop
I’m dealing with workplace harassment and don’t know how to report it.,General,i'm deal workplac harass don't know report
Child support enforcement — looking for help with unpaid support.,Personal Status,child support enforc — look help unpaid support
A case was filed after the victim reported stolen property from his car.,General,case file victim report stolen properti car
The case involves a client who agreed verbally but won’t sign the written contract.,Commercial,case involv client agre verbal won't sign written contract
The court handled a dispute concerning the interpretation of the will.,Personal Status,court handl disput concern interpret
The incident involved a serious cyber privacy breach affecting several users.,General,incid involv serious cyber privaci breach affect sever user
The dispute affected the company’s operations and business stability.,Commercial,disput affect compani oper busi stabil
The case involves a landlord seeking compensation for property damage by a tenant.,Commercial,case involv landlord seek compens properti damag tenant
The car repair shop refused to fix my vehicle even though it’s under warranty.,Commercial,car repair shop refus fix vehicl even though it warranti
The manager launched an investigation to address customer dissatisfaction reports.,Commercial,manag launch investig address custom dissatisfact report
Who pays for the damage after a car accident? I need legal help.,General,pay damag car accid need legal help
The individual demanded protection after repeated privacy violations.,General,individu demand protect repeat privaci violat
The court reviewed claims of patent infringement between two manufacturers.,Commercial,court review claim patent infring two manufactur
I was injured in an accident and want to file a compensation claim.,General,injur accid want file compens claim
The company suffered heavy losses due to commercial fraud by its vendor.,Commercial,compani suffer heavi loss due commerci fraud vendor
The case involves a company dispute between two major stakeholders.,Commercial,case involv compani disput two major stakehold
I’m looking for guidance on how to file a complaint about harassment in transit.,General,i'm look guidanc file complaint harass transit
The case is about a person wanting to adopt and needing procedural guidance.,Personal Status,case person want adopt need procedur guidanc
Company funds misuse — investigating employee financial misconduct.,Commercial,compani fund misus — investig employe financi misconduct
He claimed personal data misuse after his phone number was distributed without permission.,General,claim person data misus phone number distribut without permiss
A driving offense was recorded after the driver ignored traffic signs.,General,drive offens record driver ignor traffic sign
A healthcare business faced lawsuits after several reports of medical negligence.,Commercial,healthcar busi face lawsuit sever report medic neglig
I’m looking for advice on how to stop cyberbullying legally.,General,i'm look advic stop cyberbulli legal
The company filed a property dispute over ownership of a commercial building.,Commercial,compani file properti disput ownership commerci build
The decision was guided by what benefits the child the most.,Personal Status,decis guid benefit child
I filed a complaint because my landlord refused to give back my deposit.,Commercial,file complaint landlord refus give back deposit
"My client hasn’t paid the invoice for three months, and I need a lawyer to handle it.",Commercial,client hasn't paid invoic three month need lawyer handl
The case involves a company failing to fulfill its sales agreement.,Commercial,case involv compani fail fulfil sale agreement
The investor claimed financial loss following a failed business agreement.,Commercial,investor claim financi loss follow fail busi agreement
I need legal advice because another user is using my protected content.,General,need legal advic anoth user use protect content
The case involves preparing a personal will and ensuring it meets legal requirements.,Personal Status,case involv prepar person ensur meet legal requir
The agency was fined after multiple verified service complaints.,Commercial,agenc fine multipl verifi servic complaint
The organization faced legal action for the misuse of funds entrusted to them.,General,organ face legal action misus fund entrust
"I bought an item online, and it arrived damaged.",Commercial,bought item onlin arriv damag
The company breached my employment agreement by not following the terms.,Commercial,compani breach employ agreement follow term
Both parties agreed to a divorce through mutual understanding.,Personal Status,parti agre divorc mutual understand
A case was filed regarding the theft of personal belongings from a house.,General,case file regard theft person belong hous
"Since the divorce, my ex has been trying to take the kids from me",Personal Status,sinc divorc ex tri take kid
The organization lost its patent rights due to late renewal.,Commercial,organ lost patent right due late renew
Investors suffered major losses due to fraud committed by the firm’s manager.,Commercial,investor suffer major loss due fraud commit firm manag
The case concerns dividing profits from the family endowment.,Personal Status,case concern divid profit famili endow
I was in a car accident with an uninsured driver and need legal help.,General,car accid uninsur driver need legal help
The man reported the theft of his vehicle to local authorities.,General,man report theft vehicl local author
I filed a request to move my child to another school after the divorce was completed.,Personal Status,file request move child anoth school divorc complet
I need help from a lawyer to register my new company.,Commercial,need help lawyer regist new compani
file a defamation case against a social media user who spread lies about me.,General,file defam case social media user spread lie
The husband challenged the court’s decision on lineage verification.,Personal Status,husband challeng court decis lineag verif
She demanded protection after repeated cyber privacy attacks from unknown accounts.,General,demand protect repeat cyber privaci attack unknown account
Residents filed a complaint about severe pollution affecting their neighborhood.,General,resid file complaint sever pollut affect neighborhood
The company filed a lawsuit after discovering false documents in a contract deal.,Commercial,compani file lawsuit discov fals document contract deal
The case involves online defamation and harm to personal reputation.,General,case involv onlin defam harm person reput
The builder didn’t meet contract terms but still demands full payment.,Commercial,builder didn't meet contract term still demand full payment
Both parties agreed to mediation to settle the franchise disagreement.,Commercial,parti agre mediat settl franchis disagr
Authorities launched an investigation into stolen property found in the neighborhood.,General,author launch investig stolen properti found neighborhood
I want divorce from my wife,Personal Status,want divorc wife
The case involves trespassing and illegal tree cutting.,General,case involv trespass illeg tree cut
The police arrested a suspect involved in a physical attack in the street.,General,polic arrest suspect involv physic attack street
The dispute was resolved prioritizing the child’s safety and happiness.,Personal Status,disput resolv priorit child safeti happi
The individual suffered identity theft due to a serious data breach.,General,individu suffer ident theft due serious data breach
The company filed a case accusing its partner of commercial fraud.,Commercial,compani file case accus partner commerci fraud
Both parties agreed to resolve their e-commerce dispute through mediation.,Commercial,parti agre resolv ecommerc disput mediat
where to file a complaint for online hacking.,General,file complaint onlin hack
"I lost my job today, and my employer didn’t warn me beforehand.",General,lost job today employ didn't warn beforehand
The customer filed a product complaint after receiving a defective item.,Commercial,custom file product complaint receiv defect item
I’m looking for legal assistance to speed up the process of ending my marriage.,Personal Status,i'm look legal assist speed process end marriag
The firm filed a claim seeking compensation for losses caused by a bank issue.,Commercial,firm file claim seek compens loss caus bank issu
We’re requesting an official decision to verify the man’s paternity.,Personal Status,we'r request offici decis verifi man patern
I want to take legal action to restore my access to my child.,Personal Status,want take legal action restor access child
The resident received a fine after disposing trash improperly.,General,resid receiv fine dispos trash improp
I’m asking a lawyer for legal guidance to make my divorce happen faster.,Personal Status,i'm ask lawyer legal guidanc make divorc happen faster
The court asked for evidence of a valid marriage.,Personal Status,court ask evid valid marriag
Authorities investigated a complaint of intimidation in a public place.,General,author investig complaint intimid public place
A lawsuit was filed to address power struggles in company management.,Commercial,lawsuit file address power struggl compani manag
Authorities investigated financial mismanagement linked to the bankruptcy case.,Commercial,author investig financi mismanag link bankruptci case
The driver was fined for a driving offense involving reckless behavior.,General,driver fine drive offens involv reckless behavior
Online defamation case — seeking help to protect my reputation.,General,onlin defam case — seek help protect reput
I discovered that my partner isn’t reporting all income to the government.,Commercial,discov partner isn't report incom govern
A customer reported assault by a staff member inside the store.,Commercial,custom report assault staff member insid store
Tenant refused to pay after breaking items in the house.,Commercial,tenant refus pay break item hous
Someone stole my bike from the neighborhood.,General,someon stole bike neighborhood
"The husband denied the marriage, so she filed for proof.",Personal Status,husband deni marriag file proof
I want to take legal steps to ensure a fair division of assets.,Personal Status,want take legal step ensur fair divis asset
I’m having a land dispute with my neighbors over the property boundary.,General,i'm land disput neighbor properti boundari
The case involves a customer refusing to follow the terms of a software deal.,Commercial,case involv custom refus follow term softwar deal
The company violated the terms of my employment agreement.,Commercial,compani violat term employ agreement
I’m trying to settle my divorce without going to court and need advice.,Personal Status,i'm tri settl divorc without go court need advic
Someone spread lies about me using work email communication.,General,someon spread lie use work email communic
The wife filed a case demanding alimony after the divorce.,Personal Status,wife file case demand alimoni divorc
The victim claimed he experienced violence during an argument.,General,victim claim experienc violenc argument
A freelancer is suing a client for not paying after the project was done.,Commercial,freelanc su client pay project done
I’m thinking about filing a police report because someone took my bike.,General,i'm think file polic report someon took bike
Authorities launched an investigation into a major financial crime involving company funds.,Commercial,author launch investig major financi crime involv compani fund
"I completed the work, but the client didn’t pay — I need legal help.",Commercial,complet work client didn't pay — need legal help
The court required legal confirmation of the divorce.,Personal Status,court requir legal confirm divorc
I want to report an employee who stole valuable company equipment.,Commercial,want report employe stole valuabl compani equip
The judge ruled in favor of confirming the child’s lineage.,Personal Status,judg rule favor confirm child lineag
The firm demanded compensation for losses caused by fake contracts.,Commercial,firm demand compens loss caus fake contract
A commercial platform was reported for failing to protect user privacy.,Commercial,commerci platform report fail protect user privaci
Social media defamation — false claims damaging personal reputation.,General,social media defam — fals claim damag person reput
"My car is still under warranty, but the service center refused to repair it.",Commercial,car still warranti servic center refus repair
A dispute arose when fake contracts were used to secure business deals.,Commercial,disput aros fake contract use secur busi deal
The partners disagreed on how to share business risk in their contract.,Commercial,partner disagre share busi risk contract
The case is about confirming the biological father of the child.,Personal Status,case confirm biolog father child
A data breach was reported after personal files were leaked on social media.,General,data breach report person file leak social media
removing false content and holding the person accountable.,General,remov fals content hold person account
The police recovered stolen property from a suspect's home.,General,polic recov stolen properti suspect home
The ministry supervised all cases involving child custodianship.,Personal Status,ministri supervis case involv child custodianship
She volunteered to provide home-based orphan care through legal approval.,Personal Status,volunt provid homebas orphan care legal approv
The man refused to sign documents confirming child recognition.,Personal Status,man refus sign document confirm child recognit
A dispute arose over the parents’ contact rights after separation.,Personal Status,disput aros parent contact right separ
The couple’s marriage ended due to unresolved conflicts.,Personal Status,coupl marriag end due unresolv conflict
"Seeking help — passport lost in another country, need urgent guidance.",General,seek help — passport lost anoth countri need urgent guidanc
There’s a business conflict involving unauthorized use of our trademark.,Commercial,there busi conflict involv unauthor use trademark
My original pictures are being used by another person illegally.,General,origin pictur use anoth person illeg
The victim required medical treatment following the assault.,General,victim requir medic treatment follow assault
The company filed a lawsuit after discovering fake contracts signed in its name.,Commercial,compani file lawsuit discov fake contract sign name
A retail brand submitted a property dispute claim over a leased shop.,Commercial,retail brand submit properti disput claim leas shop
The woman presented documents as evidence of her divorce.,Personal Status,woman present document evid divorc
The man was required to pay a fine for causing public disturbance.,General,man requir pay fine caus public disturb
A dispute arose after the company violated the exclusivity rights clause.,Commercial,disput aros compani violat exclus right claus
The court reviewed a case involving breach of a financial agreement.,Commercial,court review case involv breach financi agreement
He claimed that the suspect made a threat to damage his property.,General,claim suspect made threat damag properti
