text,label,length
the case concerns establishing the legitimate lineage of the child,0,66
i m experiencing harassment at work,2,35
the wife challenged the legality of the husband s revocation claim,0,66
my passport went missing overseas what steps should i take now,2,62
there s an ongoing dispute between family members about their inheritance rights,0,80
the court reviewed a property dispute related to dividing inherited property,0,76
i m seeking legal advice about claiming compensation after an accident,2,70
the court investigated allegations of using false documents in trade transactions,1,81
authorities investigated reports of human rights abuse in the community,2,71
the case focused on recovering the dowry given at marriage,0,58
i need guidance on how to file a harassment complaint at work,2,61
my neighbors and i disagree about where the property line is,2,60
i was promised warranty service but the company didn t honor it,1,63
unauthorized use of personal images online,2,42
the case involves a couple trying to settle their divorce through mediation,0,75
my landlord evicted me illegally without a proper notice,1,56
my husband refuses to move on from this marriage despite our daily arguments,0,76
she filed for divorce verification due to a dispute with her ex husband,0,71
false statements about me are circulating online and i want to stop them,2,72
i m dealing with workplace harassment and don t know how to report it,2,69
child support enforcement looking for help with unpaid support,0,62
a case was filed after the victim reported stolen property from his car,2,71
the case involves a client who agreed verbally but won t sign the written contract,1,82
the court handled a dispute concerning the interpretation of the will,0,69
the incident involved a serious cyber privacy breach affecting several users,2,76
the dispute affected the company s operations and business stability,1,68
the case involves a landlord seeking compensation for property damage by a tenant,1,81
the car repair shop refused to fix my vehicle even though it s under warranty,1,77
the manager launched an investigation to address customer dissatisfaction reports,1,81
who pays for the damage after a car accident i need legal help,2,62
the individual demanded protection after repeated privacy violations,2,68
the court reviewed claims of patent infringement between two manufacturers,1,74
i was injured in an accident and want to file a compensation claim,2,66
the company suffered heavy losses due to commercial fraud by its vendor,1,71
the case involves a company dispute between two major stakeholders,1,66
i m looking for guidance on how to file a complaint about harassment in transit,2,79
the case is about a person wanting to adopt and needing procedural guidance,0,75
company funds misuse investigating employee financial misconduct,1,64
a driving offense was recorded after the driver ignored traffic signs,2,69
a healthcare business faced lawsuits after several reports of medical negligence,1,80
i m looking for advice on how to stop cyberbullying legally,2,59
the company filed a property dispute over ownership of a commercial building,1,76
the decision was guided by what benefits the child the most,0,59
i filed a complaint because my landlord refused to give back my deposit,1,71
my client hasn t paid the invoice for three months and i need a lawyer to handle it,1,83
the case involves a company failing to fulfill its sales agreement,1,66
the investor claimed financial loss following a failed business agreement,1,73
i need legal advice because another user is using my protected content,2,70
the agency was fined after multiple verified service complaints,1,63
the organization faced legal action for the misuse of funds entrusted to them,2,77
i bought an item online and it arrived damaged,1,46
the company breached my employment agreement by not following the terms,1,71
both parties agreed to a divorce through mutual understanding,0,61
a case was filed regarding the theft of personal belongings from a house,2,72
since the divorce my ex has been trying to take the kids from me,0,64
the organization lost its patent rights due to late renewal,1,59
investors suffered major losses due to fraud committed by the firm s manager,1,76
the case concerns dividing profits from the family endowment,0,60
i was in a car accident with an uninsured driver and need legal help,2,68
the man reported the theft of his vehicle to local authorities,2,62
i need help from a lawyer to register my new company,1,52
file a defamation case against a social media user who spread lies about me,2,75
the husband challenged the court s decision on lineage verification,0,67
she demanded protection after repeated cyber privacy attacks from unknown accounts,2,82
residents filed a complaint about severe pollution affecting their neighborhood,2,79
the company filed a lawsuit after discovering false documents in a contract deal,1,80
the case involves online defamation and harm to personal reputation,2,67
the builder didn t meet contract terms but still demands full payment,1,69
both parties agreed to mediation to settle the franchise disagreement,1,69
i want divorce from my wife,0,27
the case involves trespassing and illegal tree cutting,2,54
the police arrested a suspect involved in a physical attack in the street,2,73
the dispute was resolved prioritizing the child s safety and happiness,0,70
the individual suffered identity theft due to a serious data breach,2,67
the company filed a case accusing its partner of commercial fraud,1,65
both parties agreed to resolve their e commerce dispute through mediation,1,73
where to file a complaint for online hacking,2,44
i lost my job today and my employer didn t warn me beforehand,2,61
the customer filed a product complaint after receiving a defective item,1,71
i m looking for legal assistance to speed up the process of ending my marriage,0,78
the firm filed a claim seeking compensation for losses caused by a bank issue,1,77
we re requesting an official decision to verify the man s paternity,0,67
i want to take legal action to restore my access to my child,0,60
the resident received a fine after disposing trash improperly,2,61
i m asking a lawyer for legal guidance to make my divorce happen faster,0,71
the court asked for evidence of a valid marriage,0,48
authorities investigated a complaint of intimidation in a public place,2,70
a lawsuit was filed to address power struggles in company management,1,68
authorities investigated financial mismanagement linked to the bankruptcy case,1,78
the driver was fined for a driving offense involving reckless behavior,2,70
online defamation case seeking help to protect my reputation,2,60
i discovered that my partner isn t reporting all income to the government,1,73
a customer reported assault by a staff member inside the store,1,62
tenant refused to pay after breaking items in the house,1,55
someone stole my bike from the neighborhood,2,43
the husband denied the marriage so she filed for proof,0,54
i want to take legal steps to ensure a fair division of assets,0,62
i m having a land dispute with my neighbors over the property boundary,2,70
the case involves a customer refusing to follow the terms of a software deal,1,76
the company violated the terms of my employment agreement,1,57
i m trying to settle my divorce without going to court and need advice,0,70
someone spread lies about me using work email communication,2,59
the wife filed a case demanding alimony after the divorce,0,57
the victim claimed he experienced violence during an argument,2,61
a freelancer is suing a client for not paying after the project was done,1,72
i m thinking about filing a police report because someone took my bike,2,70
i completed the work but the client didn t pay i need legal help,1,64
the court required legal confirmation of the divorce,0,52
i want to report an employee who stole valuable company equipment,1,65
the judge ruled in favor of confirming the child s lineage,0,58
the firm demanded compensation for losses caused by fake contracts,1,66
a commercial platform was reported for failing to protect user privacy,1,70
social media defamation false claims damaging personal reputation,2,65
my car is still under warranty but the service center refused to repair it,1,74
a dispute arose when fake contracts were used to secure business deals,1,70
the partners disagreed on how to share business risk in their contract,1,70
the case is about confirming the biological father of the child,0,63
a data breach was reported after personal files were leaked on social media,2,75
removing false content and holding the person accountable,2,57
the police recovered stolen property from a suspect s home,2,58
the ministry supervised all cases involving child custodianship,0,63
she volunteered to provide home based orphan care through legal approval,0,72
the man refused to sign documents confirming child recognition,0,62
a dispute arose over the parents contact rights after separation,0,64
the couple s marriage ended due to unresolved conflicts,0,55
seeking help passport lost in another country need urgent guidance,2,66
there s a business conflict involving unauthorized use of our trademark,1,71
my original pictures are being used by another person illegally,2,63
the victim required medical treatment following the assault,2,59
the company filed a lawsuit after discovering fake contracts signed in its name,1,79
a retail brand submitted a property dispute claim over a leased shop,1,68
the woman presented documents as evidence of her divorce,0,56
the man was required to pay a fine for causing public disturbance,2,65
a dispute arose after the company violated the exclusivity rights clause,1,72
the court reviewed a case involving breach of a financial agreement,1,67
he claimed that the suspect made a threat to damage his property,2,64
a case was submitted to finalize the legal dissolution of the company,1,69
neighbor illegally cutting down trees on my property,2,52
the private hospital faced legal action for violating patient rights,1,68
someone stole my information and committed fraud online,2,55
i m having a dispute with a contractor over my home renovation project,1,70
the case involves a disagreement over service quality and obligations,1,69
the court reviewed a commercial case involving a driving offense by a truck driver,1,82
identity theft issues,2,21
the woman submitted all necessary legal documentation for her case,0,66
i lost my bike to theft and want to understand my legal rights,2,62
someone is using my copyrighted photos online without permission,2,64
i m facing issues with the adoption procedure and need legal help,0,65
the woman requested monthly alimony to support her living expenses,0,66
the contract disagreement is delaying the software handover,1,59
both parties argued over the legitimacy of the legal certificate,0,64
tenant damaged the property and refuses to pay,1,46
i was defamed on social media,2,29
the woman applied for khula asking the court to dissolve the marriage,0,69
the court handled a service dispute between the provider and the customer,1,73
i want to protect my company s logo from being used by others,1,61
the court reviewed evidence showing intimidation against the victim,2,67
the case involves a company failing to fulfill warranty obligations,1,67
a case was submitted to verify the validity of the divorce,0,58
i m asking for legal advice about collecting overdue rent,1,57
neighbor noise complaints escalating,2,36
the company filed a lawsuit over the manager s misuse of company funds,1,70
he disputed a fine he received for blocking traffic,2,51
those images taken down and the person held accountable,2,55
a commercial fraud case was opened after falsified invoices were discovered,1,75
the contractor demanded full payment despite the ongoing service dispute,1,72
the case concerns a bank issue involving transaction failure and loss of funds,1,78
the case is about siblings disagreeing over the fair division of inheritance,0,76
i m asking for help to file a complaint about cyberbullying,2,59
child support not being paid,0,28
the company handled multiple e commerce disputes related to refund delays,1,73
i want a refund because the product i ordered online was defective,1,66
the police launched an investigation into a large scale fraud operation,2,71
this lawsuit seeks to force the father to pay regular child support payments,0,76
the investigation revealed multiple instances of medical negligence in the facility,2,83
a factory was investigated for generating a health risk due to toxic emissions,1,78
i filed a legal claim asking the court to make the father pay child support,0,75
the accountant was found guilty of participating in financial deception,1,71
custody case parent seeking legal rights to care for child,0,58
my tenant refuses to pay the electricity and water bills,1,56
the case concerns compensation claims resulting from a manufacturing defect,1,75
i m filing a case because my spouse didn t disclose all financial assets,0,72
trademark dispute company copied our logo and name,1,50
the case involves an employee claiming unfair termination,1,57
a commercial dispute arose after a worker reported violence at the workplace,1,76
the court reviewed the request for custody transfer between parents,0,67
the case involves a car crash where the other party was uninsured,2,65
the partners agreed to arbitration to settle the management conflict peacefully,1,79
the buyer filed a formal product complaint through the retailer s website,1,73
i want to know how to report a person who keeps insulting me online,2,67
what should i do if my landlord refuses to make necessary repairs,1,65
what can i do if my tenant doesn t pay utility bills,1,52
authorities worked to address environmental damage that threatened nearby residents,2,83
the court handled a financial crime involving money laundering and tax evasion,1,78
tenant refusing to pay utility bills,1,36
the company filed a case seeking compensation for financial loss,1,64
the software developer filed an intellectual property case against a competitor,1,79
i want legal help to handle my divorce in the shortest possible time,0,68
what should i do if i get scammed by a seller on an online marketplace,1,70
i need legal help to claim my rightful share of inherited property,0,66
a group of residents reported human rights concerns to local authorities,2,72
the company reported stolen property after equipment disappeared from the warehouse,1,83
my landlord is threatening to evict me illegally without notice,2,63
the legal question is about how to create and notarize a will,0,61
the court reviewed a supplier dispute involving unpaid invoices,1,63
my husband refuses to leave me even though we have endless problems,0,67
the supplier was accused of presenting false documents to the client,1,68
the physical attack was captured by security cameras in the area,2,64
i m seeking legal help to recover money taken by an employee,1,60
the buyer reported commercial fraud after receiving counterfeit goods,1,69
the case involves repeated online bullying and emotional harm,2,61
the woman filed a case to prove the child s lineage to the father,0,65
she sustained injuries after a physical attack during an argument,2,65
a man reported extortion after being threatened to pay a large sum,2,66
the adoption agency hasn t responded and my case is on hold,0,59
i lost my job suddenly and the company gave no explanation,1,58
my employee was caught taking company items home illegally,1,58
my spouse refuses to pay alimony,0,32
the case involves a shareholder s right to participate in decision making,1,73
the case involves unpaid rent and a disagreement between landlord and renter,1,76
dividing inheritance from family estate,0,39
the retailer won t honor the return policy and i need legal guidance,1,68
i m seeking legal help to collect overdue payments from a client,1,64
i need legal help to divide inheritance from our family estate,0,62
the community demanded action to protect public safety from ongoing risks,2,73
i m in a custody battle with my ex over our teenage child,0,57
i was fired even though i didn t violate my contract,1,52
authorities investigated a report of reputation damage linked to cyberbullying,2,78
i want to report harassment but i m afraid of losing my job,2,59
the online store sent me an item i didn t order,1,47
someone hacked my account and i want to report it to the authorities,2,68
the partners could not reach an agreement before the dissolution,1,64
i need legal help because an employee leaked private company information,1,72
she applied for custodianship to manage her child s affairs legally,0,67
the buyer demanded compensation for repeated delivery failures,1,62
i need legal help to divide assets fairly after my divorce,0,58
my ex and i are in constant conflict over the children s custody,0,64
a case was filed to challenge the validity of the will,0,54
car accident liability dispute,2,30
the victim filed a complaint after receiving extortion messages demanding money,2,79
i m looking for guidance on how to start and register my business properly,1,74
the court reviewed evidence before approving the custodianship request,0,70
the employee filed a complaint after facing assault from a coworker,1,67
the court handled a case involving breach of exclusivity rights in a contract,1,77
i purchased an item that was faulty and the seller won t respond,1,64
the contract clearly defines the business obligations of both parties,1,69
the couple decided to seek mediation for their marital issues,0,61
a property dispute arose between neighbors over land boundaries,2,63
i want legal help because my job was terminated without proper notice,1,69
the seller denied receiving payment from the online transaction,1,63
the company denied insolvency claims citing temporary financial challenges,1,74
my employer treats me unfairly because of my background,2,55
the social worker highlighted welfare concerns in the custody report,0,68
the incident involved personal data misuse through unauthorized access to a device,2,82
the court reviewed a case involving a serious bank issue affecting clients,1,74
what can i do if my landlord violates my tenant rights,1,54
software contract violation by client,1,37
she is seeking khula because she can no longer live with her husband,0,68
the court reviewed documents proving reconciliation after divorce,0,65
my employer terminated me unfairly and without notice,1,53
the firm faced liquidation due to unpaid loans and tax liabilities,1,66
workplace harassment what are my options,2,40
he filed a case to obtain official legal documents from the court,0,65
the shareholders agreed to voluntary liquidation of the business,1,64
the son filed a case claiming his right in the estate division,0,62
my child hasn t received support payments for months,0,52
the case is about a landlord charging higher rent than allowed by law,1,69
i m seeking permission to change my child s school following the divorce,0,72
i need legal help to claim my fair share of inheritance,0,55
i discovered a loan in my name that i never applied for,2,55
someone scammed me through a website and i want to take action,2,62
the business dissolution case involved unresolved financial obligations,1,71
what should i do if an employee steals company data,1,51
warranty dispute company denying repair or replacement,1,54
a case was submitted to transfer orphan care responsibilities to another guardian,0,81
a tech company was accused of cyber privacy misuse involving client information,1,79
a whistleblower exposed financial crime operations affecting multiple investors,1,79
i want to apply for legal guardianship of my nephew and don t know the process,0,78
this case involves an unlawful rent increase by the property owner,1,66
the defect in the product caused financial and safety issues for the buyer,1,74
the police issued a ticket for multiple traffic violations,2,58
a case was opened regarding malpractice that caused physical and emotional damage,2,81
authorities enforced the care decision following the court s ruling,0,67
my visa application got delayed and i don t know how to fix it,2,62
the court reviewed evidence before approving custody withdrawal,0,63
the court reviewed evidence related to a theft of valuable items,2,64
the mechanic declined to fix the issue claiming the warranty doesn t apply,1,74
the incident involved pollution that spread across several streets,2,66
lost legal documents and need to recover them,2,45
i was accused of shoplifting but i didn t steal anything,2,56
adoption procedure issues,0,25
my tenant hasn t paid rent for months and i m filing a complaint,1,64
what are my options if my insurance company denies my car accident claim,2,72
the court charged the defendant with embezzlement for taking money illegally,2,76
a commercial investigation was launched after a company s waste caused pollution,1,80
what can i do if i was wrongfully terminated from my job,1,56
i need legal help to stop a competitor from copying our registered trademark,1,76
the case focuses on protecting the child s welfare and well being,0,65
conflict about who should have custody of the children after divorce,0,68
the foster parent filed a complaint about custody restrictions,0,62
the case involves inappropriate behavior that happened on public transit,2,72
i had a deal ready but the client suddenly decided not to sign,1,62
the man requested permission to continue as the foster parent of the orphan,0,75
she filed a complaint after discovering misuse of funds intended for her care,2,77
workplace defamation employee accused falsely through company mail,2,66
i was removed from my position for no clear reason and i need advice,1,68
the case involves breach of contract and failure to address service complaints,1,78
the investor filed a lawsuit claiming violation of the financial agreement,1,74
i need advice on how to claim compensation after being injured outside,2,70
i m seeking guidance to recover my money from a dishonest contractor,1,68
the factory was reported for endangering public safety through toxic emissions,1,78
false statements were made about me online i want to know my rights,2,67
the case involves a disagreement with an insurer over vehicle repair costs,2,74
i m asking the court to prove through dna that he s the child s real father,0,75
authorities opened a case involving misuse of funds in a public institution,2,75
the son claimed that the will was forged and unfair,0,51
someone is selling products under my brand name and i want to take action,1,73
a business partner was accused of using intimidation to change contract terms,1,77
i want to know my rights regarding profit division in a shared business,1,71
the court ordered liquidation following failure to reach a financial settlement,1,79
a hospital error was confirmed in the patient s medical report,2,62
the case focuses on liability arising from unmitigated business risk,1,68
i want to report a harassment incident that happened on the train,2,65
the court handled a case concerning estate division among siblings,0,66
what are my options if there s a liability dispute after a car accident,2,71
a dispute arose after one party used false documents to secure payment,1,70
i lost my passport during a trip and need guidance on how to replace it,2,71
a request for marriage termination was submitted to the court,0,61
customer claims defective product from online store,1,51
online scam report need guidance to recover my money,2,52
the customer filed an e commerce dispute after receiving a defective product,1,76
i need help solving issues with my visa application,2,51
the court reviewed a property dispute involving ownership of a private house,2,76
a case was opened regarding a marital misunderstanding,0,54
the case concerns non compliance with stated business obligations,1,65
i m having trouble with my visa process,2,39
property dispute with neighbors,2,31
the heirs filed a case regarding the management of a family endowment,0,69
the couple decided to reconcile after their divorce,0,51
a dispute arose after the client suffered financial loss due to contract breach,1,79
the court handled a case involving fraud in an online transaction,1,65
the court reviewed a case involving fraudulent advertising and product complaints,1,81
there s an ongoing court case about custody arrangements for our teenager,0,73
the company faced legal action due to poor management of business risk,1,70
my bank account was used for a transaction i never approved,2,59
a dispute arose regarding the amount of alimony to be paid,0,58
the company refuses to deliver the products i already paid for,1,62
the court reviewed a commercial injury claim involving a damaged product,1,72
the man requested compensation through an injury claim after being harmed,2,73
my pictures were shared online without consent and i want to report it,2,70
what should i do if my neighbor cuts trees on my property without permission,2,76
the case involves fraud carried out through misleading phone calls,2,66
i m looking for advice on how to recover my missing legal papers,2,64
a legal dispute arose concerning the custody arrangement,0,56
the case involves a property owner neglecting essential repairs,1,63
the investigation revealed long term embezzlement by a staff member,2,67
what can i do if i ve been a victim of cybercrime,2,49
the court handled a company dispute regarding management rights,1,63
the buyer denied responsibility for the false documents presented to the court,1,78
the police responded to a report of violence in the neighborhood,2,64
the court reviewed a complaint submitted by a group of shareholders,1,67
the father acknowledged the child after a court order for recognition,0,69
the wife was asked to return the dowry after the divorce,0,56
what should i do if my business partner breaches our contract,1,61
the testament clearly states how the estate should be distributed,0,65
i m seeking legal advice about a fraudulent loan application using my identity,2,78
software contract dispute client breached terms and refused payment,1,67
the court reviewed evidence of medical negligence during a surgical procedure,2,77
i need legal help because the seller denied my valid warranty claim,1,67
the court reviewed evidence of personal data misuse that caused emotional harm,2,78
the issue is about unreported income and possible tax evasion,1,61
the firm ceased operations after the court s dissolution order,1,62
the partner failed to deliver what was agreed in the business deal,1,66
the police arrested a suspect involved in an assault in a public area,2,69
i want to report my company for workplace discrimination,2,56
false posts about me went viral and i want to take legal steps,2,62
a case was opened after funds were found missing due to embezzlement,2,68
public transport harassment case seeking legal protection,2,57
residents filed a complaint about environmental damage caused in their area,2,75
i placed an order and made payment but nothing was delivered,1,60
he requested official proof of marriage from the court,0,54
the suspect confessed to embezzlement during the police interrogation,2,69
the case involves copyright violation and ownership dispute,2,59
the company managing the clinic was fined due to repeated medical negligence cases,1,82
i m seeking legal proof that the man is the child s biological father,0,69
the supplier failed to meet the contract requirements and i want to act,1,71
what can i do if my tenant refuses to pay rent,1,46
my client used the software beyond what was agreed in the contract,1,66
business contract dispute partner failed to meet commitments,1,60
the court handled a case involving a serious management conflict,1,64
i m harassed on public transport,2,32
i need legal help because my tenant isn t paying shared utility costs,1,69
i was scammed by a fraudulent seller on an online marketplace,1,61
dispute over inheritance between siblings,0,41
she felt unsafe due to constant intimidation from an unknown caller,2,67
custody,0,7
the business was fined for pollution resulting from improper chemical disposal,1,78
my manager ended my contract without informing me in advance,2,60
i want to know my rights when reporting harassment at work,2,58
i want to know the fair way to distribute the family estate,0,59
i want to report identity fraud related to a false loan,2,55
the husband refused to hand over the legal documents,0,52
harassment case employee mistreated in workplace environment,2,60
the child needs a guardian and i want to handle it legally,0,58
a person was arrested for committing online fraud against multiple users,2,72
she reported that her patient rights were ignored during treatment,2,66
i m asking for advice about filing a complaint for unfair treatment,2,67
the uncle was appointed as a temporary custodian until the court s final decision,0,81
i want advice on how to handle ongoing noise issues in my building,2,66
the court ordered an equal division of the inherited estate,0,59
there s tension between the parents regarding child custody,0,59
i want to file a complaint because i was fired suddenly and without reason,2,74
i want to register my new business and need some legal advice,1,61
a traffic violation report was filed against a transportation company vehicle,1,77
the court appointed a guardian to manage the affairs of an incapacitated person,0,79
the community raised concerns about pollution harming public health,2,67
a case was opened regarding medical negligence that caused long term damage,2,75
the customer complained about hidden fees that caused a loan dispute,1,68
what are my options for dividing property after a divorce,0,57
my photos were uploaded online without credit or permission and i want to report it,2,83
i want to report my landlord for forcing me out illegally,1,57
the case focuses on mismanagement and repayment failure in a loan dispute,1,73
he filed a case demanding the return of the dowry,0,49
the witness reported seeing an assault take place near the building,2,67
the woman filed a case to correct her family identity records,0,61
the case involves proving the authenticity of a marriage certificate,0,68
dispute between ex spouses over their children s custody,0,56
the court reviewed evidence showing the suspect committed embezzlement,2,70
i want to file a complaint against someone who scammed me online,2,64
i m asking for legal advice about child custody procedures,0,58
i discovered financial irregularities involving a staff member,1,62
a marital dispute has been filed in the family court,0,52
my brothers are refusing to share the family property fairly,0,60
the victim reported misuse of funds after trusting someone with his money,2,73
i want to understand my rights if i m being harassed at work,2,60
my music was used without permission and i want to take action,2,62
i want custody of my children,0,29
a fight for custody following the end of the marriage,0,53
the case involves a payment conflict between a client and a contractor,1,70
the brothers and sisters are fighting in court about their parents inheritance,0,78
the father filed a case requesting access to his children,0,57
i need legal help because the retailer ignored my complaint,1,59
a criminal case was filed for forging and circulating false commercial documents,1,80
the supplier blamed logistics delays for ongoing delivery problems,1,66
the court handled a case involving embezzlement within a private corporation,1,76
the case involves theft of company assets by a staff member,1,59
fired without notice need help understanding what i can do,2,58
both parties consented to the termination of their marriage contract,0,68
a complaint was filed regarding a hospital error in the emergency department,2,76
the court issued a ruling and i want to contest it legally,2,58
i want to report a business that rejected my warranty claim,1,59
my employment was ended unfairly by the company,1,47
the supplier faced penalties due to continuous customer dissatisfaction,1,71
i want to take action because my freelance payment is still pending,1,67
she accused someone of fraud after discovering her information was stolen,2,73
a dispute arose due to unauthorized withdrawals causing a bank issue,1,68
he filed a lawsuit claiming reputation damage from a viral video,2,64
a case was filed due to extortion involving threats of physical harm,2,68
the grandfather filed a case seeking custodianship of his orphaned grandchild,0,77
claim for child support against the father,0,42
the father filed a case for custody withdrawal from the mother,0,62
a report highlighted major gaps in data protection affecting ordinary users,2,75
i need legal help to register my business correctly with the authorities,1,72
wrong item received from online purchase need help getting refund,1,65
the court approved the business dissolution due to ongoing disputes,1,67
the wife sought an official certificate to prove the divorce status,0,67
i filed a warranty request but the company refused to repair or replace the item,1,80
the buyer reported an e commerce dispute over a canceled transaction,1,68
my husband still refuses to give me a divorce even with all these problems,0,74
i want to know how to resolve a car accident dispute through insurance,2,70
i m seeking legal advice about a wrongful eviction threat,2,57
the investigation focused on identifying the person behind the anonymous threat,2,79
an audit revealed misuse of funds within the financial department,1,65
my tenant uses the utilities but refuses to pay for them,1,56
i want to adopt a child what is the legal procedure,0,51
the landlord warned me to move out without any court order,2,58
the customer ignored the invoice for months so i need legal action,1,66
the family is involved in a legal will dispute after the father s death,0,71
the co founders are in conflict over company ownership and decisions,1,68
the investigation revealed multiple incidents of malpractice in the facility,2,76
a dispute arose due to late delivery of the ordered products,1,60
falsely accused of shoplifting need help to prove my innocence,2,62
the supplier demanded reimbursement for financial loss due to late payments,1,75
a fine was issued for violating environmental regulations,2,57
the client filed a service complaint due to unprofessional behavior from staff,1,78
the company filed a lawsuit after discovering embezzlement by the accountant,1,76
landlord violating tenant rights,1,32
i was injured in a public place and want to know if i can get compensation,2,74
i need help because the seller won t send the goods i bought,1,60
i m asking for legal advice about filing a workplace harassment claim,2,69
customer complaining about service contract,1,43
dispute with supplier over contract terms,1,41
the business received multiple warnings due to repeated public safety violations,1,80
authorities investigated a property dispute caused by unauthorized construction,2,79
the consumer demanded a replacement after submitting a product complaint,1,72
the firm updated its policies after multiple incidents of workplace violence,1,76
the company faced penalties after its driver committed a serious driving offense,1,80
someone at my workplace is harassing me and i need legal advice,2,63
the firm updated its policies after several complaints regarding customer privacy,1,81
a rental issue arose after the tenant refused to pay rent on time,2,65
the firm filed charges over false accounting and financial deception,1,68
landlord tenant dispute renter refusing to cover utilities,1,58
the company filed a request for voluntary dissolution,1,53
i need urgent legal help to bring my child back safely,0,54
i m seeking guidance on how to clear my record after identity misuse,2,68
i want to report my employer for firing me without justification,1,64
the case involves an employee using business money without authorization,1,72
authorities issued a fine after the citizen violated public safety rules,2,72
the company accused its partner of financial deception in business reports,1,74
the customer filed a legal claim against the store for selling a defective item,1,79
the shareholders demanded intervention to resolve the management conflict,1,73
the employee filed a complaint after a physical attack by a coworker,1,68
accident case uninsured driver caused vehicle damage,2,52
the manager was dismissed for involvement in financial deception,1,64
i was let go unfairly and need to know my rights,1,48
an ongoing custody dispute between the divorced couple,0,54
a dispute arose regarding parent access after divorce,0,53
the court handled a malpractice dispute involving a corporate medical center,1,76
a shareholder filed for legal protection against management misconduct,1,70
workplace discrimination case seeking justice for unequal behavior,2,66
dividing joint business profits after partnership ends,1,54
my rent went up suddenly and i don t think it s legal,1,53
the dispute involves unpaid fees for freelance work,1,51
the woman initiated khula to separate from her husband,0,54
inheritance dispute over family property,0,40
i need legal help to claim compensation from my car insurance provider,2,70
neighbor building wall on my property line,2,42
a dispute arose after the company failed to protect investor rights,1,67
i sent the invoice three months ago but the client never paid i need legal support,1,82
traffic violations increased in the city leading to stricter monitoring,2,71
authorities investigated a case of embezzlement within a government office,2,74
the company filed a complaint regarding delayed payment from the client,1,71
the victim filed a complaint after her privacy was violated online,2,66
bike stolen need legal help to report and recover it,2,52
a business partner was accused of extortion to force contract changes,1,69
they applied for marriage annulment after discovering legal errors,0,66
authorities investigated the company following numerous product complaints,1,74
the employee filed a complaint about intimidation from his supervisor,1,69
the lender sued the borrower for defaulting leading to a loan dispute,1,69
the company faced legal action after a cyber privacy breach exposed customer data,1,81
i want to understand my rights as a parent in a custody case,0,60
dispute over shared business profits,1,36
the company terminated the contract following a supplier dispute,1,64
an employee stole confidential company data and shared it without permission,1,76
we re finalizing our divorce and can t agree on dividing our assets,0,67
i need legal help to report an employee who stole from the workplace,1,68
he requested verification of his family identity through official documents,0,75
the court reviewed a dispute regarding the revocation of divorce,0,64
the court reviewed a dispute involving negligence in assessing business risk,1,76
appeal case seeking guidance on how to contest the ruling,2,57
she lost custody after the court s withdrawal decision,0,54
the victim filed a complaint after falling for a fraud scheme,2,61
the husband declared the revocation of divorce before the waiting period ended,0,78
the court validated the testament after confirming it was signed legally,0,72
she filed a case to adjust the terms of parent access,0,53
i need legal guidance on how to get custody of my child,0,55
one of our employees is misusing company funds for personal expenses,1,68
need advice i m starting a business and want to handle the registration right,1,77
the customer demanded compensation through the e commerce platform,1,66
authorities investigated an environmental safety issue involving harmful fumes,2,78
the shareholder filed a case against the company for unfair treatment,1,69
our customer claims we didn t meet the conditions of the contract,1,65
what can i do if i m being harassed at work,2,43
a case was filed to determine legal custody for an incapacitated person,0,71
the community expressed concerns about a health risk affecting local families,2,77
the husband and wife signed papers confirming mutual consent,0,60
the victim claimed that medical staff neglected basic patient rights,2,68
what should i do if another business uses my trademark,1,54
the court reviewed a commercial fine imposed for misleading advertisements,1,74
someone used my information to apply for a fraudulent loan,2,58
i m facing harassment at my workplace and need legal help,2,57
i want to take legal action against a user for posting lies about me,2,68
a marriage annulment case was submitted due to invalid conditions,0,65
a legal complaint was filed for violating clauses in the distribution contract,1,78
i m asking for legal help to start the guardianship process,0,59
she filed a complaint due to non payment of alimony,0,51
the court reviewed a case involving misuse of the franchise brand,1,65
we dissolved our partnership but the profits haven t been divided yet,1,69
business tax fraud case partner concealing revenue from officials,1,65
the dispute centers on a contract breach caused by delayed product shipment,1,75
the case involves a dispute with a car service center about warranty repair,1,75
someone posted false info about me online can i sue,2,51
i want to know whether mediation can help us avoid going to court,0,65
my partner didn t follow the terms of our business contract,1,59
i want to report unauthorized construction in my neighborhood,2,61
the heirs requested transparency in the management of the family endowment assets,0,81
the case is about a neighbor encroaching on private land while building a wall,2,78
i m asking for legal advice about splitting assets with my ex spouse,0,68
the firm reported extortion attempts aimed at influencing its decisions,1,71
the police reviewed evidence related to a cyber privacy violation on her device,2,79
can i request replacements for lost legal documents,2,51
tenant rights issue landlord ignoring repair requests,1,53
residents filed a complaint about a health risk caused by strong chemical odors,2,79
a company dispute arose after disagreements about financial control,1,67
contractor dispute home renovation not finished or done poorly,1,62
i need legal guidance on how to adopt a child properly,0,54
the employee was arrested for embezzlement after misusing public funds,2,70
a commercial driver received penalties for traffic violations during a shipment,1,79
a case was filed after growing customer dissatisfaction with the product,1,72
child visitation rights dispute,0,31
i need advice on divorce mediation,0,34
a dispute arose due to an unauthorized online transaction,1,57
someone harassed me on the bus and i want to report it,2,54
the case involves fraud and the use of false documents in a commercial agreement,1,80
someone posted false statements about me online and i m taking legal action,2,75
what can i do if my company breached my employment contract,1,59
the court handled a complaint involving a breach of patient rights and privacy,2,78
the case involves guardianship of a child whose parents can t care for them,0,75
