Case Description,Category,label
The case is about getting professional advice before registering a new company.,Commercial,1
breach of contract by my employer.,Commercial,1
Fraudulent online marketplace seller.,Commercial,1
I need legal advice after being harassed in a public transportation area.,General,2
A woman filed to become the legal guardian under the orphan care system.,Personal Status,0
The company managing the clinic was accused of ignoring patient rights policies.,Commercial,1
What are my options if I have a payment dispute with a contractor?,Commercial,1
The property division is causing conflict between us.,Personal Status,0
What should I do if I see a fraudulent transaction in my account?,General,2
Authorities investigated a cyber privacy breach involving leaked personal messages.,General,2
Authorities investigated pollution caused by burning waste in a public area.,General,2
clear my name after being wrongly blamed for theft in a store.,General,2
The supplier refused to fulfill the remaining part of the contract.,Commercial,1
What should I do if someone defamed me on social media?,General,2
The wife decided to proceed with khula under Islamic law.,Personal Status,0
A dispute arose due to non-payment for delivered goods.,Commercial,1
The store staff wrongly accused me of taking something without paying.,General,2
"My creative work was used illegally, and I need legal help.",General,2
"A theft happened in my area, and my bicycle was taken.",General,2
The individual demanded justice after experiencing a violation of patient rights.,General,2
The police received multiple complaints about environmental safety hazards nearby.,General,2
A commercial dispute arose involving stolen property sold to a retailer.,Commercial,1
A privacy complaint was filed after a business shared client data without permission.,Commercial,1
Dispute over inheritance from deceased parent.,Personal Status,0
My tenant damaged the property and refuses to pay for the repairs.,Commercial,1
"My product is still under warranty, yet the company won’t fix it.",Commercial,1
The investigation revealed major environmental safety breaches affecting residents.,General,2
The borrower negotiated a debt settlement to avoid bankruptcy.,Commercial,1
What should I do if I want custody of my child?,Personal Status,0
A petition for insolvency was filed by the firm’s main lender.,Commercial,1
The family applied for legal custody to provide orphan care.,Personal Status,0
The inheritance dispute has caused conflict between siblings.,Personal Status,0
A case was filed regarding privacy concerns in a neighborhood incident.,General,2
custody of my boys,Personal Status,0
My account was charged without my consent.,General,2
The company failed to fulfill its business obligations under the contract.,Commercial,1
Need help creating a will and making it official.,Personal Status,0
What are my options if my supplier breaks the contract terms?,Commercial,1
The wife wants to obtain a khula due to marital issues.,Personal Status,0
The police received multiple complaints regarding a large data breach.,General,2
The manufacturer issued a recall after an increase in product complaints.,Commercial,1
The bank launched an investigation into suspicious online transactions.,Commercial,1
A complaint was filed against the manufacturer over a product defect.,Commercial,1
There was a conflict about the issuance of an official divorce certificate.,Personal Status,0
The supplier was accused of presenting fake contracts to obtain payment.,Commercial,1
The case concerns establishing the legitimate lineage of the child.,Personal Status,0
I’m experiencing harassment at work.,General,2
The wife challenged the legality of the husband’s revocation claim.,Personal Status,0
My passport went missing overseas — what steps should I take now?,General,2
There’s an ongoing dispute between family members about their inheritance rights.,Personal Status,0
The court reviewed a property dispute related to dividing inherited property.,Personal Status,0
I’m seeking legal advice about claiming compensation after an accident.,General,2
The court investigated allegations of using false documents in trade transactions.,Commercial,1
Authorities investigated reports of human rights abuse in the community.,General,2
The case focused on recovering the dowry given at marriage.,Personal Status,0
I need guidance on how to file a harassment complaint at work.,General,2
My neighbors and I disagree about where the property line is.,General,2
"I was promised warranty service, but the company didn’t honor it.",Commercial,1
Unauthorized use of personal images online.,General,2
The case involves a couple trying to settle their divorce through mediation.,Personal Status,0
My landlord evicted me illegally without a proper notice.,Commercial,1
My husband refuses to move on from this marriage despite our daily arguments,Personal Status,0
She filed for divorce verification due to a dispute with her ex-husband.,Personal Status,0
"False statements about me are circulating online, and I want to stop them.",General,2
I’m dealing with workplace harassment and don’t know how to report it.,General,2
Child support enforcement — looking for help with unpaid support.,Personal Status,0
A case was filed after the victim reported stolen property from his car.,General,2
The case involves a client who agreed verbally but won’t sign the written contract.,Commercial,1
The court handled a dispute concerning the interpretation of the will.,Personal Status,0
The incident involved a serious cyber privacy breach affecting several users.,General,2
The dispute affected the company’s operations and business stability.,Commercial,1
The case involves a landlord seeking compensation for property damage by a tenant.,Commercial,1
The car repair shop refused to fix my vehicle even though it’s under warranty.,Commercial,1
The manager launched an investigation to address customer dissatisfaction reports.,Commercial,1
Who pays for the damage after a car accident? I need legal help.,General,2
The individual demanded protection after repeated privacy violations.,General,2
The court reviewed claims of patent infringement between two manufacturers.,Commercial,1
I was injured in an accident and want to file a compensation claim.,General,2
The company suffered heavy losses due to commercial fraud by its vendor.,Commercial,1
The case involves a company dispute between two major stakeholders.,Commercial,1
I’m looking for guidance on how to file a complaint about harassment in transit.,General,2
The case is about a person wanting to adopt and needing procedural guidance.,Personal Status,0
Company funds misuse — investigating employee financial misconduct.,Commercial,1
He claimed personal data misuse after his phone number was distributed without permission.,General,2
A driving offense was recorded after the driver ignored traffic signs.,General,2
A healthcare business faced lawsuits after several reports of medical negligence.,Commercial,1
I’m looking for advice on how to stop cyberbullying legally.,General,2
The company filed a property dispute over ownership of a commercial building.,Commercial,1
The decision was guided by what benefits the child the most.,Personal Status,0
I filed a complaint because my landlord refused to give back my deposit.,Commercial,1
"My client hasn’t paid the invoice for three months, and I need a lawyer to handle it.",Commercial,1
The case involves a company failing to fulfill its sales agreement.,Commercial,1
The investor claimed financial loss following a failed business agreement.,Commercial,1
I need legal advice because another user is using my protected content.,General,2
The case involves preparing a personal will and ensuring it meets legal requirements.,Personal Status,0
The agency was fined after multiple verified service complaints.,Commercial,1
The organization faced legal action for the misuse of funds entrusted to them.,General,2
"I bought an item online, and it arrived damaged.",Commercial,1
The company breached my employment agreement by not following the terms.,Commercial,1
Both parties agreed to a divorce through mutual understanding.,Personal Status,0
A case was filed regarding the theft of personal belongings from a house.,General,2
"Since the divorce, my ex has been trying to take the kids from me",Personal Status,0
The organization lost its patent rights due to late renewal.,Commercial,1
Investors suffered major losses due to fraud committed by the firm’s manager.,Commercial,1
The case concerns dividing profits from the family endowment.,Personal Status,0
I was in a car accident with an uninsured driver and need legal help.,General,2
The man reported the theft of his vehicle to local authorities.,General,2
I filed a request to move my child to another school after the divorce was completed.,Personal Status,0
I need help from a lawyer to register my new company.,Commercial,1
file a defamation case against a social media user who spread lies about me.,General,2
The husband challenged the court’s decision on lineage verification.,Personal Status,0
She demanded protection after repeated cyber privacy attacks from unknown accounts.,General,2
Residents filed a complaint about severe pollution affecting their neighborhood.,General,2
The company filed a lawsuit after discovering false documents in a contract deal.,Commercial,1
The case involves online defamation and harm to personal reputation.,General,2
The builder didn’t meet contract terms but still demands full payment.,Commercial,1
Both parties agreed to mediation to settle the franchise disagreement.,Commercial,1
Authorities launched an investigation into stolen property found in the neighborhood.,General,2
I want divorce from my wife,Personal Status,0
The case involves trespassing and illegal tree cutting.,General,2
The police arrested a suspect involved in a physical attack in the street.,General,2
The dispute was resolved prioritizing the child’s safety and happiness.,Personal Status,0
The individual suffered identity theft due to a serious data breach.,General,2
The company filed a case accusing its partner of commercial fraud.,Commercial,1
Both parties agreed to resolve their e-commerce dispute through mediation.,Commercial,1
where to file a complaint for online hacking.,General,2
"I lost my job today, and my employer didn’t warn me beforehand.",General,2
The customer filed a product complaint after receiving a defective item.,Commercial,1
I’m looking for legal assistance to speed up the process of ending my marriage.,Personal Status,0
The firm filed a claim seeking compensation for losses caused by a bank issue.,Commercial,1
We’re requesting an official decision to verify the man’s paternity.,Personal Status,0
I want to take legal action to restore my access to my child.,Personal Status,0
The resident received a fine after disposing trash improperly.,General,2
I’m asking a lawyer for legal guidance to make my divorce happen faster.,Personal Status,0
The court asked for evidence of a valid marriage.,Personal Status,0
Authorities investigated a complaint of intimidation in a public place.,General,2
A lawsuit was filed to address power struggles in company management.,Commercial,1
Authorities investigated financial mismanagement linked to the bankruptcy case.,Commercial,1
The driver was fined for a driving offense involving reckless behavior.,General,2
Online defamation case — seeking help to protect my reputation.,General,2
I discovered that my partner isn’t reporting all income to the government.,Commercial,1
A customer reported assault by a staff member inside the store.,Commercial,1
Tenant refused to pay after breaking items in the house.,Commercial,1
Someone stole my bike from the neighborhood.,General,2
"The husband denied the marriage, so she filed for proof.",Personal Status,0
I want to take legal steps to ensure a fair division of assets.,Personal Status,0
I’m having a land dispute with my neighbors over the property boundary.,General,2
The case involves a customer refusing to follow the terms of a software deal.,Commercial,1
The company violated the terms of my employment agreement.,Commercial,1
I’m trying to settle my divorce without going to court and need advice.,Personal Status,0
Someone spread lies about me using work email communication.,General,2
The wife filed a case demanding alimony after the divorce.,Personal Status,0
The victim claimed he experienced violence during an argument.,General,2
A freelancer is suing a client for not paying after the project was done.,Commercial,1
I’m thinking about filing a police report because someone took my bike.,General,2
Authorities launched an investigation into a major financial crime involving company funds.,Commercial,1
"I completed the work, but the client didn’t pay — I need legal help.",Commercial,1
The court required legal confirmation of the divorce.,Personal Status,0
I want to report an employee who stole valuable company equipment.,Commercial,1
The judge ruled in favor of confirming the child’s lineage.,Personal Status,0
The firm demanded compensation for losses caused by fake contracts.,Commercial,1
A commercial platform was reported for failing to protect user privacy.,Commercial,1
Social media defamation — false claims damaging personal reputation.,General,2
"My car is still under warranty, but the service center refused to repair it.",Commercial,1
A dispute arose when fake contracts were used to secure business deals.,Commercial,1
The partners disagreed on how to share business risk in their contract.,Commercial,1
The case is about confirming the biological father of the child.,Personal Status,0
A data breach was reported after personal files were leaked on social media.,General,2
removing false content and holding the person accountable.,General,2
The police recovered stolen property from a suspect's home.,General,2
The ministry supervised all cases involving child custodianship.,Personal Status,0
She volunteered to provide home-based orphan care through legal approval.,Personal Status,0
The man refused to sign documents confirming child recognition.,Personal Status,0
A dispute arose over the parents’ contact rights after separation.,Personal Status,0
The couple’s marriage ended due to unresolved conflicts.,Personal Status,0
"Seeking help — passport lost in another country, need urgent guidance.",General,2
There’s a business conflict involving unauthorized use of our trademark.,Commercial,1
My original pictures are being used by another person illegally.,General,2
The victim required medical treatment following the assault.,General,2
The company filed a lawsuit after discovering fake contracts signed in its name.,Commercial,1
A retail brand submitted a property dispute claim over a leased shop.,Commercial,1
The woman presented documents as evidence of her divorce.,Personal Status,0
The man was required to pay a fine for causing public disturbance.,General,2
A dispute arose after the company violated the exclusivity rights clause.,Commercial,1
The court reviewed a case involving breach of a financial agreement.,Commercial,1
He claimed that the suspect made a threat to damage his property.,General,2
A case was submitted to finalize the legal dissolution of the company.,Commercial,1
Neighbor illegally cutting down trees on my property.,General,2
The private hospital faced legal action for violating patient rights.,Commercial,1
Someone stole my information and committed fraud online.,General,2
I’m having a dispute with a contractor over my home renovation project.,Commercial,1
The case involves a disagreement over service quality and obligations.,Commercial,1
The court reviewed a commercial case involving a driving offense by a truck driver.,Commercial,1
Identity theft issues.,General,2
The woman submitted all necessary legal documentation for her case.,Personal Status,0
I lost my bike to theft and want to understand my legal rights.,General,2
Someone is using my copyrighted photos online without permission.,General,2
I’m facing issues with the adoption procedure and need legal help.,Personal Status,0
The woman requested monthly alimony to support her living expenses.,Personal Status,0
The contract disagreement is delaying the software handover.,Commercial,1
Both parties argued over the legitimacy of the legal certificate.,Personal Status,0
Tenant damaged the property and refuses to pay.,Commercial,1
I was defamed on social media.,General,2
"The woman applied for khula, asking the court to dissolve the marriage.",Personal Status,0
The court handled a service dispute between the provider and the customer.,Commercial,1
I want to protect my company’s logo from being used by others.,Commercial,1
The company faced legal action for mistreating workers and violating their human rights.,Commercial,1
The court reviewed evidence showing intimidation against the victim.,General,2
The case involves a company failing to fulfill warranty obligations.,Commercial,1
A case was submitted to verify the validity of the divorce.,Personal Status,0
I’m asking for legal advice about collecting overdue rent.,Commercial,1
Neighbor noise complaints escalating.,General,2
The company filed a lawsuit over the manager’s misuse of company funds.,Commercial,1
He disputed a fine he received for blocking traffic.,General,2
those images taken down and the person held accountable.,General,2
A commercial fraud case was opened after falsified invoices were discovered.,Commercial,1
The contractor demanded full payment despite the ongoing service dispute.,Commercial,1
The case concerns a bank issue involving transaction failure and loss of funds.,Commercial,1
The case is about siblings disagreeing over the fair division of inheritance.,Personal Status,0
I’m asking for help to file a complaint about cyberbullying.,General,2
Child support not being paid.,Personal Status,0
The company handled multiple e-commerce disputes related to refund delays.,Commercial,1
I want a refund because the product I ordered online was defective.,Commercial,1
The police launched an investigation into a large-scale fraud operation.,General,2
This lawsuit seeks to force the father to pay regular child support payments.,Personal Status,0
The investigation revealed multiple instances of medical negligence in the facility.,General,2
A factory was investigated for generating a health risk due to toxic emissions.,Commercial,1
I filed a legal claim asking the court to make the father pay child support.,Personal Status,0
The accountant was found guilty of participating in financial deception.,Commercial,1
Custody case — parent seeking legal rights to care for child.,Personal Status,0
My tenant refuses to pay the electricity and water bills.,Commercial,1
The case concerns compensation claims resulting from a manufacturing defect.,Commercial,1
I’m filing a case because my spouse didn’t disclose all financial assets.,Personal Status,0
Trademark dispute — company copied our logo and name.,Commercial,1
The case involves an employee claiming unfair termination.,Commercial,1
A commercial dispute arose after a worker reported violence at the workplace.,Commercial,1
The court reviewed the request for custody transfer between parents.,Personal Status,0
The case involves a car crash where the other party was uninsured.,General,2
The partners agreed to arbitration to settle the management conflict peacefully.,Commercial,1
The buyer filed a formal product complaint through the retailer’s website.,Commercial,1
I want to know how to report a person who keeps insulting me online.,General,2
What should I do if my landlord refuses to make necessary repairs?,Commercial,1
What can I do if my tenant doesn’t pay utility bills?,Commercial,1
Authorities worked to address environmental damage that threatened nearby residents.,General,2
The complaint was filed because the individual’s data protection rights were violated.,General,2
The court handled a financial crime involving money laundering and tax evasion.,Commercial,1
Tenant refusing to pay utility bills.,Commercial,1
The company filed a case seeking compensation for financial loss.,Commercial,1
The software developer filed an intellectual property case against a competitor.,Commercial,1
I want legal help to handle my divorce in the shortest possible time.,Personal Status,0
What should I do if I get scammed by a seller on an online marketplace?,Commercial,1
Authorities reviewed evidence of patent violation in an intellectual property dispute.,Commercial,1
I need legal help to claim my rightful share of inherited property.,Personal Status,0
A group of residents reported human rights concerns to local authorities.,General,2
A rental issue arose among family members over the house inherited from their parents.,Personal Status,0
The company reported stolen property after equipment disappeared from the warehouse.,Commercial,1
My landlord is threatening to evict me illegally without notice.,General,2
The legal question is about how to create and notarize a will.,Personal Status,0
The court reviewed a supplier dispute involving unpaid invoices.,Commercial,1
"My husband refuses to leave me, even though we have endless problems",Personal Status,0
The supplier was accused of presenting false documents to the client.,Commercial,1
The physical attack was captured by security cameras in the area.,General,2
I’m seeking legal help to recover money taken by an employee.,Commercial,1
The buyer reported commercial fraud after receiving counterfeit goods.,Commercial,1
The case involves repeated online bullying and emotional harm.,General,2
The woman filed a case to prove the child’s lineage to the father.,Personal Status,0
She sustained injuries after a physical attack during an argument.,General,2
A man reported extortion after being threatened to pay a large sum.,General,2
"The adoption agency hasn’t responded, and my case is on hold.",Personal Status,0
"I lost my job suddenly, and the company gave no explanation.",Commercial,1
My employee was caught taking company items home illegally.,Commercial,1
My spouse refuses to pay alimony.,Personal Status,0
The case involves a shareholder’s right to participate in decision-making.,Commercial,1
The case involves unpaid rent and a disagreement between landlord and renter.,Commercial,1
Dividing inheritance from family estate.,Personal Status,0
"The retailer won’t honor the return policy, and I need legal guidance.",Commercial,1
I’m seeking legal help to collect overdue payments from a client.,Commercial,1
I need legal help to divide inheritance from our family estate.,Personal Status,0
The community demanded action to protect public safety from ongoing risks.,General,2
I’m in a custody battle with my ex over our teenage child.,Personal Status,0
I was fired even though I didn’t violate my contract.,Commercial,1
Authorities investigated a report of reputation damage linked to cyberbullying.,General,2
I want to report harassment but I’m afraid of losing my job.,General,2
The online store sent me an item I didn’t order.,Commercial,1
"Someone hacked my account, and I want to report it to the authorities.",General,2
The partners could not reach an agreement before the dissolution.,Commercial,1
I need legal help because an employee leaked private company information.,Commercial,1
She applied for custodianship to manage her child’s affairs legally.,Personal Status,0
The buyer demanded compensation for repeated delivery failures.,Commercial,1
Online defamation case — seeking help to protect my reputation.,General,2
I need legal help to divide assets fairly after my divorce.,Personal Status,0
My ex and I are in constant conflict over the children’s custody,Personal Status,0
A case was filed to challenge the validity of the will.,Personal Status,0
Car accident liability dispute.,General,2
The victim filed a complaint after receiving extortion messages demanding money.,General,2
I’m looking for guidance on how to start and register my business properly.,Commercial,1
The court reviewed evidence before approving the custodianship request.,Personal Status,0
The employee filed a complaint after facing assault from a coworker.,Commercial,1
The family requested legal help to resolve a rental issue related to their father’s estate property.,Personal Status,0
The court handled a case involving breach of exclusivity rights in a contract.,Commercial,1
A lawsuit was filed to terminate the contract due to violations of exclusivity rights.,Commercial,1
"I purchased an item that was faulty, and the seller won’t respond.",Commercial,1
The contract clearly defines the business obligations of both parties.,Commercial,1
The couple decided to seek mediation for their marital issues.,Personal Status,0
A property dispute arose between neighbors over land boundaries.,General,2
I want legal help because my job was terminated without proper notice.,Commercial,1
The seller denied receiving payment from the online transaction.,Commercial,1
"The company denied insolvency claims, citing temporary financial challenges.",Commercial,1
My employer treats me unfairly because of my background.,General,2
The social worker highlighted welfare concerns in the custody report.,Personal Status,0
The incident involved personal data misuse through unauthorized access to a device.,General,2
The court reviewed a case involving a serious bank issue affecting clients.,Commercial,1
A report confirmed that the patient’s complications were caused by medical negligence.,General,2
What can I do if my landlord violates my tenant rights?,Commercial,1
Software contract violation by client.,Commercial,1
She is seeking khula because she can no longer live with her husband.,Personal Status,0
The court reviewed documents proving reconciliation after divorce.,Personal Status,0
My employer terminated me unfairly and without notice.,Commercial,1
The firm faced liquidation due to unpaid loans and tax liabilities.,Commercial,1
"Workplace harassment, what are my options?",General,2
He filed a case to obtain official legal documents from the court.,Personal Status,0
The shareholders agreed to voluntary liquidation of the business.,Commercial,1
The son filed a case claiming his right in the estate division.,Personal Status,0
My child hasn’t received support payments for months.,Personal Status,0
The case is about a landlord charging higher rent than allowed by law.,Commercial,1
I’m seeking permission to change my child’s school following the divorce.,Personal Status,0
I need legal help to claim my fair share of inheritance.,Personal Status,0
I discovered a loan in my name that I never applied for.,General,2
"Someone scammed me through a website, and I want to take action.",General,2
The business dissolution case involved unresolved financial obligations.,Commercial,1
The court handled a commercial dispute involving reputation damage and loss of clients.,Commercial,1
What should I do if an employee steals company data?,Commercial,1
Warranty dispute — company denying repair or replacement.,Commercial,1
A case was submitted to transfer orphan care responsibilities to another guardian.,Personal Status,0
A tech company was accused of cyber privacy misuse involving client information.,Commercial,1
A whistleblower exposed financial crime operations affecting multiple investors.,Commercial,1
I want to apply for legal guardianship of my nephew and don’t know the process.,Personal Status,0
This case involves an unlawful rent increase by the property owner.,Commercial,1
The defect in the product caused financial and safety issues for the buyer.,Commercial,1
The police issued a ticket for multiple traffic violations.,General,2
A case was opened regarding malpractice that caused physical and emotional damage.,General,2
Authorities enforced the care decision following the court’s ruling.,Personal Status,0
"My visa application got delayed, and I don’t know how to fix it.",General,2
The court reviewed evidence before approving custody withdrawal.,Personal Status,0
The court reviewed evidence related to a theft of valuable items.,General,2
"The mechanic declined to fix the issue, claiming the warranty doesn’t apply.",Commercial,1
The incident involved pollution that spread across several streets.,General,2
Lost legal documents and need to recover them.,General,2
"I was accused of shoplifting, but I didn’t steal anything.",General,2
Adoption procedure issues.,Personal Status,0
"My tenant hasn’t paid rent for months, and I’m filing a complaint.",Commercial,1
What are my options if my insurance company denies my car accident claim?,General,2
The court charged the defendant with embezzlement for taking money illegally.,General,2
A commercial investigation was launched after a company’s waste caused pollution.,Commercial,1
What can I do if I was wrongfully terminated from my job?,Commercial,1
I need legal help to stop a competitor from copying our registered trademark.,Commercial,1
The case focuses on protecting the child’s welfare and well-being.,Personal Status,0
Conflict about who should have custody of the children after divorce,Personal Status,0
The foster parent filed a complaint about custody restrictions.,Personal Status,0
The case involves inappropriate behavior that happened on public transit.,General,2
"I had a deal ready, but the client suddenly decided not to sign.",Commercial,1
The man requested permission to continue as the foster parent of the orphan.,Personal Status,0
She filed a complaint after discovering misuse of funds intended for her care.,General,2
Workplace defamation — employee accused falsely through company mail.,General,2
"I was removed from my position for no clear reason, and I need advice.",Commercial,1
The case involves breach of contract and failure to address service complaints.,Commercial,1
The investor filed a lawsuit claiming violation of the financial agreement.,Commercial,1
I need advice on how to claim compensation after being injured outside.,General,2
I’m seeking guidance to recover my money from a dishonest contractor.,Commercial,1
The factory was reported for endangering public safety through toxic emissions.,Commercial,1
False statements were made about me online — I want to know my rights.,General,2
The case involves a disagreement with an insurer over vehicle repair costs.,General,2
I’m asking the court to prove through DNA that he’s the child’s real father.,Personal Status,0
Authorities opened a case involving misuse of funds in a public institution.,General,2
The son claimed that the will was forged and unfair.,Personal Status,0
"Someone is selling products under my brand name, and I want to take action.",Commercial,1
A business partner was accused of using intimidation to change contract terms.,Commercial,1
I want to know my rights regarding profit division in a shared business.,Commercial,1
The court ordered liquidation following failure to reach a financial settlement.,Commercial,1
A hospital error was confirmed in the patient’s medical report.,General,2
The case focuses on liability arising from unmitigated business risk.,Commercial,1
I want to report a harassment incident that happened on the train.,General,2
The court handled a case concerning estate division among siblings.,Personal Status,0
What are my options if there’s a liability dispute after a car accident?,General,2
A dispute arose after one party used false documents to secure payment.,Commercial,1
I lost my passport during a trip and need guidance on how to replace it.,General,2
A request for marriage termination was submitted to the court.,Personal Status,0
Customer claims defective product from online store.,Commercial,1
Online scam report — need guidance to recover my money.,General,2
The customer filed an e-commerce dispute after receiving a defective product.,Commercial,1
I need help solving issues with my visa application.,General,2
The court reviewed a property dispute involving ownership of a private house.,General,2
A case was opened regarding a marital misunderstanding.,Personal Status,0
The case concerns non-compliance with stated business obligations.,Commercial,1
I’m having trouble with my visa process.,General,2
Property dispute with neighbors.,General,2
The heirs filed a case regarding the management of a family endowment.,Personal Status,0
The couple decided to reconcile after their divorce.,Personal Status,0
A dispute arose after the client suffered financial loss due to contract breach.,Commercial,1
The court handled a case involving fraud in an online transaction.,Commercial,1
The court reviewed a case involving fraudulent advertising and product complaints.,Commercial,1
There’s an ongoing court case about custody arrangements for our teenager.,Personal Status,0
The company faced legal action due to poor management of business risk.,Commercial,1
My bank account was used for a transaction I never approved.,General,2
A dispute arose regarding the amount of alimony to be paid.,Personal Status,0
The company refuses to deliver the products I already paid for.,Commercial,1
The court reviewed a commercial injury claim involving a damaged product.,Commercial,1
The man requested compensation through an injury claim after being harmed.,General,2
"My pictures were shared online without consent, and I want to report it.",General,2
Two individuals entered a property dispute after both claimed rights to the same land.,General,2
What should I do if my neighbor cuts trees on my property without permission?,General,2
The case involves fraud carried out through misleading phone calls.,General,2
I’m looking for advice on how to recover my missing legal papers.,General,2
A legal dispute arose concerning the custody arrangement.,Personal Status,0
The case involves a property owner neglecting essential repairs.,Commercial,1
The investigation revealed long-term embezzlement by a staff member.,General,2
What can I do if I’ve been a victim of cybercrime?,General,2
The court handled a company dispute regarding management rights.,Commercial,1
The buyer denied responsibility for the false documents presented to the court.,Commercial,1
The police responded to a report of violence in the neighborhood.,General,2
The court reviewed a complaint submitted by a group of shareholders.,Commercial,1
The father acknowledged the child after a court order for recognition.,Personal Status,0
The wife was asked to return the dowry after the divorce.,Personal Status,0
What should I do if my business partner breaches our contract?,Commercial,1
The testament clearly states how the estate should be distributed.,Personal Status,0
I’m seeking legal advice about a fraudulent loan application using my identity.,General,2
Software contract dispute — client breached terms and refused payment.,Commercial,1
The court reviewed evidence of medical negligence during a surgical procedure.,General,2
I need legal help because the seller denied my valid warranty claim.,Commercial,1
The court reviewed evidence of personal data misuse that caused emotional harm.,General,2
The issue is about unreported income and possible tax evasion.,Commercial,1
The firm ceased operations after the court’s dissolution order.,Commercial,1
The partner failed to deliver what was agreed in the business deal.,Commercial,1
The police arrested a suspect involved in an assault in a public area.,General,2
I want to report my company for workplace discrimination.,General,2
"False posts about me went viral, and I want to take legal steps.",General,2
A case was opened after funds were found missing due to embezzlement.,General,2
Public transport harassment case — seeking legal protection.,General,2
Residents filed a complaint about environmental damage caused in their area.,General,2
"I placed an order and made payment, but nothing was delivered.",Commercial,1
He requested official proof of marriage from the court.,Personal Status,0
The suspect confessed to embezzlement during the police interrogation.,General,2
The case involves copyright violation and ownership dispute.,General,2
The company managing the clinic was fined due to repeated medical negligence cases.,Commercial,1
I’m seeking legal proof that the man is the child’s biological father.,Personal Status,0
"The supplier failed to meet the contract requirements, and I want to act.",Commercial,1
What can I do if my tenant refuses to pay rent?,Commercial,1
My client used the software beyond what was agreed in the contract.,Commercial,1
Business contract dispute — partner failed to meet commitments.,Commercial,1
The court handled a case involving a serious management conflict.,Commercial,1
I’m harassed on public transport,General,2
I need legal help because my tenant isn’t paying shared utility costs.,Commercial,1
I was scammed by a fraudulent seller on an online marketplace.,Commercial,1
Dispute over inheritance between siblings.,Personal Status,0
She felt unsafe due to constant intimidation from an unknown caller.,General,2
custody,Personal Status,0
The business was fined for pollution resulting from improper chemical disposal.,Commercial,1
My manager ended my contract without informing me in advance.,General,2
I want to know my rights when reporting harassment at work.,General,2
I want to know the fair way to distribute the family estate.,Personal Status,0
I want to report identity fraud related to a false loan.,General,2
The husband refused to hand over the legal documents.,Personal Status,0
Harassment case — employee mistreated in workplace environment.,General,2
"The child needs a guardian, and I want to handle it legally.",Personal Status,0
A person was arrested for committing online fraud against multiple users.,General,2
She reported that her patient rights were ignored during treatment.,General,2
I’m asking for advice about filing a complaint for unfair treatment.,General,2
A commercial case was opened after a medical center was accused of medical negligence.,Commercial,1
The uncle was appointed as a temporary custodian until the court’s final decision.,Personal Status,0
I want advice on how to handle ongoing noise issues in my building.,General,2
The court ordered an equal division of the inherited estate.,Personal Status,0
There’s tension between the parents regarding child custody,Personal Status,0
I want to file a complaint because I was fired suddenly and without reason.,General,2
I want to register my new business and need some legal advice.,Commercial,1
A traffic violation report was filed against a transportation company vehicle.,Commercial,1
The court appointed a guardian to manage the affairs of an incapacitated person.,Personal Status,0
The community raised concerns about pollution harming public health.,General,2
A case was opened regarding medical negligence that caused long-term damage.,General,2
The customer complained about hidden fees that caused a loan dispute.,Commercial,1
What are my options for dividing property after a divorce?,Personal Status,0
"My photos were uploaded online without credit or permission, and I want to report it.",General,2
I want to report my landlord for forcing me out illegally.,Commercial,1
The case focuses on mismanagement and repayment failure in a loan dispute.,Commercial,1
My employer terminated me unfairly and without notice.,Commercial,1
The court reviewed evidence related to environmental safety violations in a public area.,General,2
He filed a case demanding the return of the dowry.,Personal Status,0
The witness reported seeing an assault take place near the building.,General,2
The woman filed a case to correct her family identity records.,Personal Status,0
The case involves proving the authenticity of a marriage certificate.,Personal Status,0
Dispute between ex spouses over their children’s custody,Personal Status,0
The court reviewed evidence showing the suspect committed embezzlement.,General,2
I want to file a complaint against someone who scammed me online.,General,2
I’m asking for legal advice about child custody procedures.,Personal Status,0
I discovered financial irregularities involving a staff member.,Commercial,1
A marital dispute has been filed in the family court.,Personal Status,0
My brothers are refusing to share the family property fairly.,Personal Status,0
The victim reported misuse of funds after trusting someone with his money.,General,2
I want to understand my rights if I’m being harassed at work.,General,2
"My music was used without permission, and I want to take action.",General,2
I want custody of my children,Personal Status,0
A fight for custody following the end of the marriage,Personal Status,0
The case involves a payment conflict between a client and a contractor.,Commercial,1
The brothers and sisters are fighting in court about their parents’ inheritance.,Personal Status,0
The father filed a case requesting access to his children.,Personal Status,0
I need legal help because the retailer ignored my complaint.,Commercial,1
A criminal case was filed for forging and circulating false commercial documents.,Commercial,1
The supplier blamed logistics delays for ongoing delivery problems.,Commercial,1
The court handled a case involving embezzlement within a private corporation.,Commercial,1
The case involves theft of company assets by a staff member.,Commercial,1
"Fired without notice, need help understanding what I can do.",General,2
Both parties consented to the termination of their marriage contract.,Personal Status,0
A complaint was filed regarding a hospital error in the emergency department.,General,2
"The court issued a ruling, and I want to contest it legally.",General,2
I want to report a business that rejected my warranty claim.,Commercial,1
My employment was ended unfairly by the company.,Commercial,1
The supplier faced penalties due to continuous customer dissatisfaction.,Commercial,1
I want to take action because my freelance payment is still pending.,Commercial,1
She accused someone of fraud after discovering her information was stolen.,General,2
"A dispute arose due to unauthorized withdrawals, causing a bank issue.",Commercial,1
He filed a lawsuit claiming reputation damage from a viral video.,General,2
A case was filed due to extortion involving threats of physical harm.,General,2
